t;k;z;done;failed
368.07718516096537;1;1;186;175
369.9566059522201;0;0;187;175
370.27006192784853;1;1;187;175
371.196654313114;0;0;188;175
371.2391851724827;1;1;188;175
371.78709473357765;1;1;188;176
372.31565885393104;1;1;188;177
372.433441354245;0;0;189;177
372.72803659749746;1;1;189;177
373.19350102580347;0;0;190;177
373.3400663072472;1;1;190;177
373.5285082866432;0;0;191;177
373.5582014857757;1;1;191;177
373.5633541781589;1;1;191;178
376.01966236518234;1;1;191;179
376.5857467543742;0;0;192;179
376.6160220739085;1;1;192;179
378.15396592560563;0;0;193;179
378.86680716351793;1;1;193;179
378.8735092927652;0;0;194;179
379.60539890581117;1;1;194;179
382.2997644881753;0;0;195;179
382.73651614959715;1;1;195;179
383.1261911404616;0;0;196;179
383.3487573030147;1;1;196;179
385.7482891856977;0;0;197;179
386.6179108530004;1;1;197;179
386.73272726994594;1;1;197;180
387.341612597265;1;1;197;181
387.64175552661595;0;0;198;181
387.9595251516943;1;1;198;181
389.78209503282017;1;1;198;182
391.34996167243025;1;1;198;183
391.69757469873406;1;1;198;184
391.9503410361037;1;1;198;185
393.9577517540522;0;0;199;185
394.7510839252889;1;1;199;185
395.7836784427075;1;1;199;186
396.0039839785003;1;1;199;187
396.6983537839668;0;0;200;187
397.31110219489466;1;1;200;187
399.0990039871393;1;1;200;188
399.22322118074;0;0;201;188
399.4631739522022;1;1;201;188
399.4676020988369;1;1;201;189
400.62424727365595;1;1;201;190
402.58233756350995;0;0;202;190
402.917113708444;1;1;202;190
405.2546713741276;0;0;203;190
406.0457418237683;1;1;203;190
406.05247002175946;1;1;203;191
406.6188683398998;1;1;203;192
407.0884752224631;1;1;203;193
407.2014284638547;1;1;203;194
407.46378847800514;1;1;203;195
410.3550908410785;0;0;204;195
411.2870412838495;1;1;204;195
411.3874532142571;1;1;204;196
411.702274792161;0;0;205;196
412.1801947405483;1;1;205;196
413.00750946189316;1;1;205;197
415.2804468746526;0;0;206;197
415.9834807306844;1;1;206;197
416.90472839030537;0;0;207;197
417.3307826452526;1;1;207;197
418.0371538610819;1;1;207;198
418.7181615154628;0;0;208;198
418.8572987907696;1;1;208;198
419.76587118619585;1;1;208;199
420.3568955603715;1;1;208;200
420.61674975020054;1;1;208;201
420.86244061187307;1;1;208;202
420.86524259939097;1;1;208;203
422.2170195736602;0;0;209;203
422.9483936932529;1;1;209;203
426.6462943521517;0;0;210;203
